Line,Station_Number,Station_Name,Station_Form,PAO,Elevator_and_Wheelchair_Ramps,Ticket_Gates_for_the_Disabled,Toilet_Facilities_for_Disabled,Reserved_Spaces_for_Wheelchairs,Doors_Open_Side,Elevator,Anti_slip_Strips,Train_Destination_Announcements,Public_Address_System,Priority_Seats_for_Visually_Impaired_Passengers,Tactile_Guide_Paths_quantity,Passenger_Information_Display_Systems_count,door_indicator_light_count,Train_Passenger_Information_Systems_quantity,1999_Sign_Language_Service_quantity
淡水信義線,R17,芝山站,高架,大廳層(1樓)，近出口1、出口2,出口1、出口2,主詢問處旁, 付費區(1樓)，近出口1、出口2,第1節、第6節車廂,左側開門。,有,有,有,有,二月臺前端,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
淡水信義線,R18,明德站,高架,大廳層(1樓)，近出口1,出口1、出口2、出口3,主詢問處、簡易詢問處旁, 付費區(1樓)，近出口1,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺(註：出口2、出口3無導盲磚設施),1,1,1,0
淡水信義線,R19,石牌站,高架,大廳層(1樓)，近出口1、出口2,出口1、出口2,主詢問處旁, 付費區(1樓)，近出口1、出口2,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺(註：出口2無導盲磚設施),1,1,1,0
淡水信義線,R20,唭哩岸站,高架,大廳層(1樓)，近出口1,出口1、出口2,主詢問處旁, 付費區(1樓)，近出口1,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺(註：出口2無導盲磚設施),1,1,1,0
淡水信義線,R21,奇岩站,高架,大廳層(1樓)，近出口,單一出口,主詢問處旁, 付費區(1樓)，近出口,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
淡水信義線,R22,北投站,高架,大廳層(1樓)，近出口1、出口2,出口1、出口2,主詢問處旁, 付費區(1樓)，近出口1、出口2,第1節、第6節車廂【往新北投列車(四月臺)-第1節、第3節車廂】,左側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
淡水信義線,R22A,新北投站,高架,大廳層(1樓)，近出口1,出口1,主詢問處旁, 付費區(1樓)，近出口1,第1節、第3節車廂,左側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺(註：出口2無導盲磚設施),1,1,1,0
淡水信義線,R23,復興崗站,平面,大廳層(1樓)，近出口1,出口1,主詢問處旁, 付費區(1樓)，近出口1,第1節、第6節車廂,右側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
淡水信義線,R24,忠義站,平面,大廳層(1樓)，近出口1,出口1、出口2,主詢問處旁、出口2, 付費區(1樓)，近出口1,第1節、第6節車廂,右側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺(註：出口2無導盲磚設施),1,1,1,0
淡水信義線,R25,關渡站,平面,大廳層(1樓)，近出口1,出口1、出口2,主詢問處旁、出口2, 付費區(1樓)，近出口1,第1節、第6節車廂,右側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺(註：出口2無導盲磚設施),1,1,1,0
淡水信義線,R26,竹圍站,平面,大廳層(1樓)，近出口1,出口1、出口2,主詢問處旁、出口2, 付費區(1樓)，近出口1,第1節、第6節車廂,右側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺(註：出口2無導盲磚設施),1,1,1,0
淡水信義線,R27,紅樹林站,平面,大廳層(1樓)，近出口1,出口1、出口2(僅往停車場),主詢問處旁、出口2(僅往停車場), 付費區(1樓)，近出口1,第1節、第6節車廂,右側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺(註：出口2無導盲磚設施),1,1,1,0
淡水信義線,R28,淡水站,高架,大廳層(1樓)，近出口1,出口1,主詢問處旁,非付費區(1樓)，近站後公園；非付費區(1樓)，近公車站；付費區(1樓)，近出口1,第1節、第6節車廂,左側開門。右側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺(註：出口2、出口3無導盲磚設施),1,1,1,0
板南線,BL01,頂埔站,地下,大廳層(B3)，近出口3、4,出口1、出口3、出口4,主詢問處旁,非付費區(B3)，近出口3；付費區(B3)，大廳層,第1節、第6節車廂,左側開門。右側開門。,有,有,有,有,無,0,1,1,1,0
